PIW,CPR,LTV,DTI,FICO,Refi,SATO,SMM,AOL
1,5.732,82.54,37.93,709,0.64,0.93,0.49,257394.09
0,20.225,65.58,32.72,761,0.36,-0.02,1.87,335798.33
1,23.267,70,34.86,766,0.36,-0.55,2.18,337230.63
0,16.424,70,32.94,753,0.36,0.16,1.48,305369.66
0,40.926,69.31,36,704,0.85,0.52,4.29,310945.05
0,22.998,66.78,33.61,741,0.33,0.26,2.15,312247.8
1,44.24,72.94,38.85,673,1.11,1.72,4.75,263907.91
0,51.227,70.59,39.47,679,1.08,0.88,5.81,347611.72
0,27.258,69.39,35.22,724,0.62,0.39,2.62,308053.22
0,38.116,69.88,35.53,767,0.64,-0.22,3.92,348780.44
0,37.667,67.4,37.89,695,0.82,0.65,3.86,323245.48
1,19.26,70.93,35.7,767,0.36,-0.5,1.77,361640.31
1,21.692,70.37,36.88,702,0.35,1.47,2.02,236009.21
1,49.343,71.44,35.81,765,0.61,-0.46,5.51,360364.35
1,22.434,70.81,37.1,684,1.1,1.37,2.09,266053.64
1,21.329,69.83,37.11,687,0.86,1.36,1.98,257928.56
0,11.566,69.86,38.22,701,0.37,0.69,1.02,336360.36
0,39.287,84.47,36.52,751,0.63,0.1,4.07,394761.27
0,17.531,69.31,38.49,695,0.34,0.78,1.59,332777.62
0,32.179,65.29,33.94,752,0.6,0.15,3.18,315213.58
1,26.478,89.4,40.57,696,1.07,1.76,2.53,233826.98
1,11.538,86.15,37.78,755,0.43,-0.45,1.02,299303.45
0,35.417,67.6,38.28,696,0.89,0.64,3.58,321868.1
1,7.076,85.86,39.99,691,0.66,1.65,0.61,236606.14
1,18.867,86.35,38.45,702,1.15,1.1,1.73,238883.69
1,25.47,83.44,38.47,706,0.33,1.09,2.42,244141.2
1,17.484,68.05,36.88,705,0.68,1.35,1.59,238332.09
0,23.12,68.82,36.86,692,0.35,0.63,2.17,314610.45
1,41.355,84.87,37.95,755,0.64,-0.43,4.35,292971.06
1,6.806,87.21,37.2,721,0.37,0.73,0.59,218523.63
1,18.076,70.74,35.64,764,0.41,-0.54,1.65,351428.7
1,12.519,88.84,38.65,687,1.08,1.53,1.11,238381.73
0,45.457,68.79,38.08,707,1.11,0.58,4.93,326956.02
1,11.258,85.17,37.74,716,0.64,1.1,0.99,239682.53
1,18.329,69.73,37.24,700,0.82,1.18,1.67,245415.96
0,34.241,68.44,38.82,704,0.8,0.65,3.43,337250.14
0,24.784,70.66,38.74,687,0.35,0.78,2.35,340202.45
1,18.262,74.47,39.36,682,1.16,1.61,1.67,252217.01
0,48.979,67.6,38.4,702,1.06,0.62,5.45,320815.24
0,67.064,70.49,35.94,761,0.85,-0.2,8.84,355949.1
0,37.266,70.91,39.09,684,0.83,0.78,3.81,337507.09
1,18.811,82.84,37.64,698,1.16,1.14,1.72,230780.44
1,22.466,82.97,38.06,704,0.83,1.02,2.1,246150.95
1,12.188,69.6,36.79,706,0.89,1.36,1.08,273232.61
1,20.093,83.3,38.08,706,0.61,1.06,1.85,230771.62
0,60.372,84.85,37.09,732,1.07,0.55,7.42,369143.05
1,31.154,82.27,37.81,721,1.07,0.69,3.06,246609.98
0,20.302,68.32,37.41,697,0.41,0.64,1.87,326372.94
0,49.963,67.4,36.59,715,1.05,0.49,5.61,316767.71
0,28.35,65.81,34.19,749,0.58,0.18,2.74,319775.9
0,19.762,69.16,36.48,696,0.63,0.58,1.82,316259.07
0,33.222,84.51,36.51,750,0.61,0.16,3.31,390533.54
0,26.851,65.77,33.06,758,0.42,0.04,2.57,338451.72
1,26.394,89.64,40.84,699,1.13,1.74,2.52,227448.4
1,17.496,70.82,35.73,769,0.39,-0.49,1.59,363261.53
0,48.294,65.57,33.71,765,0.4,-0.11,5.35,361631.69
1,15.087,69.49,37.41,684,0.66,1.38,1.35,251823.2
1,24.733,82.42,37.54,722,0.91,0.63,2.34,245534.29
0,57.303,69.12,35.52,764,0.9,-0.18,6.85,336654.31
0,32.764,68.37,37.81,696,0.62,0.65,3.25,327681.18
0,75.009,84.69,36.75,742,0.88,0.35,10.91,367651.25
0,41.497,70.09,35.5,767,0.69,-0.19,4.37,346761.67
0,29.199,70.18,39.03,684,0.9,0.77,2.84,339205
1,14.753,89.4,39.77,693,1.1,1.63,1.32,235026.99
0,63.047,71.02,34.5,764,0.59,-0.39,7.96,390010.83
1,16.387,86.38,40.41,696,0.91,1.66,1.48,229180.19
0,36.179,67.23,34.55,731,0.65,0.34,3.67,319058.83
0,51.9,68.09,37.95,714,1.12,0.57,5.92,324529.18
1,22.595,69.94,37.59,691,0.89,1.27,2.11,246357.02
0,72.979,84.58,36.69,744,0.85,0.29,10.33,378119.09
0,36.064,67.97,38.15,715,1.15,0.55,3.66,331791.87
0,45.71,84.48,36.52,748,0.67,0.22,4.96,388280.01
1,16.164,85.2,38.15,705,0.85,1.06,1.46,239036.34
0,42.224,71.23,36.08,766,0.41,-0.25,4.47,367629.42
1,18.271,86.75,40.7,697,1.08,1.66,1.67,225728.5
0,16.141,69.69,38.9,704,0.38,0.67,1.46,339645.32
0,39.194,66.18,34.42,745,0.64,0.23,4.06,324242.61
1,13.681,69.58,37.49,682,0.89,1.39,1.22,253520.01
0,15.492,67.67,35.11,758,0.34,0.03,1.39,347579.48
1,15.527,69.59,37.52,679,1.06,1.43,1.4,255927.42
0,44.533,67.96,38.26,704,0.81,0.61,4.79,328301.07
0,25.566,69.75,33.57,752,0.37,0.15,2.43,310444
0,45.47,67.45,35.87,722,0.86,0.42,4.93,328076.57
1,11.874,82.32,36.62,734,0.37,0.52,1.05,259467.04
