HPI,Rates,UE,FICO,Age,RollRate
-50,-3,0,650,12,0.670549604
-45,-3,0,650,12,0.485970101
-40,-3,0,650,12,0.370583669
-35,-3,0,650,12,0.292556863
-30,-3,0,650,12,0.236592221
-25,-3,0,650,12,0.19286655
-20,-3,0,650,12,0.15880072
-10,-3,0,650,12,0.106085631
-5,-3,0,650,12,0.086064839
0,-3,0,650,12,0.070807624
5,-3,0,650,12,0.059512833
10,-3,0,650,12,0.051466326
15,-3,0,650,12,0.04565205
20,-3,0,650,12,0.040949588
-50,-3,0.5,650,12,0.850120537
-45,-3,0.5,650,12,0.610589659
-40,-3,0.5,650,12,0.463067061
-35,-3,0.5,650,12,0.364323786
-30,-3,0.5,650,12,0.294261528
-25,-3,0.5,650,12,0.23973972
-20,-3,0.5,650,12,0.197399614
-10,-3,0.5,650,12,0.132408883
-5,-3,0.5,650,12,0.107288436
0,-3,0.5,650,12,0.088046872
5,-3,0.5,650,12,0.073725957
10,-3,0.5,650,12,0.063530621
15,-3,0.5,650,12,0.056270277
20,-3,0.5,650,12,0.050395253
-50,-3,1,650,12,1.173805855
-45,-3,1,650,12,0.83005766
-40,-3,1,650,12,0.623716963
-35,-3,1,650,12,0.487858867
-30,-3,1,650,12,0.392910642
-25,-3,1,650,12,0.319527735
-20,-3,1,650,12,0.262865693
-10,-3,1,650,12,0.176797546
-5,-3,1,650,12,0.143003546
0,-3,1,650,12,0.117006838
5,-3,1,650,12,0.097573974
10,-3,1,650,12,0.083762505
15,-3,1,650,12,0.074068476
20,-3,1,650,12,0.066221853
-50,-3,1.5,650,12,1.809953572
-45,-3,1.5,650,12,1.243101842
-40,-3,1.5,650,12,0.918570384
-35,-3,1.5,650,12,0.710924445
-30,-3,1.5,650,12,0.569087307
-25,-3,1.5,650,12,0.460833672
-20,-3,1.5,650,12,0.378094522
-10,-3,1.5,650,12,0.25421855
-5,-3,1.5,650,12,0.205087353
0,-3,1.5,650,12,0.167214818
5,-3,1.5,650,12,0.13884182
10,-3,1.5,650,12,0.11873623
15,-3,1.5,650,12,0.104812137
20,-3,1.5,650,12,0.093543462
-50,-3,2.5,650,12,4.640214883
-45,-3,2.5,650,12,3.493927097
-40,-3,2.5,650,12,2.716227607
-35,-3,2.5,650,12,2.047804395
-30,-3,2.5,650,12,1.572435772
-25,-3,2.5,650,12,1.236887136
-20,-3,2.5,650,12,0.994595584
-10,-3,2.5,650,12,0.653913641
-5,-3,2.5,650,12,0.521495876
0,-3,2.5,650,12,0.420689687
5,-3,2.5,650,12,0.345809043
10,-3,2.5,650,12,0.293434601
15,-3,2.5,650,12,0.25800333
20,-3,2.5,650,12,0.229422356
-50,-3,3.5,650,12,7.658269661
-45,-3,3.5,650,12,7.213032192
-40,-3,3.5,650,12,6.088444803
-35,-3,3.5,650,12,5.143124536
-30,-3,3.5,650,12,4.420792672
-25,-3,3.5,650,12,3.757730394
-20,-3,3.5,650,12,3.19998176
-10,-3,3.5,650,12,2.27443054
-5,-3,3.5,650,12,1.726516076
0,-3,3.5,650,12,1.347318277
5,-3,3.5,650,12,1.08169781
10,-3,3.5,650,12,0.904053051
15,-3,3.5,650,12,0.788254929
20,-3,3.5,650,12,0.696301146
-50,-3,4.5,650,12,8.880518208
-45,-3,4.5,650,12,8.742274216
-40,-3,4.5,650,12,8.676637449
-35,-3,4.5,650,12,7.47449058
-30,-3,4.5,650,12,7.383744265
-25,-3,4.5,650,12,7.014379556
-20,-3,4.5,650,12,6.176530987
-10,-3,4.5,650,12,5.098184936
-5,-3,4.5,650,12,4.458955191
0,-3,4.5,650,12,3.844165881
5,-3,4.5,650,12,3.333965059
10,-3,4.5,650,12,2.946121397
15,-3,4.5,650,12,2.674436816
20,-3,4.5,650,12,2.441616631
-50,-3,5,650,12,8.691246771
-45,-3,5,650,12,8.751332307
-40,-3,5,650,12,7.449690626
-35,-3,5,650,12,7.860079807
-30,-3,5,650,12,8.148131429
-25,-3,5,650,12,8.21322041
-20,-3,5,650,12,7.353294167
-10,-3,5,650,12,6.387953112
-5,-3,5,650,12,5.87888983
0,-3,5,650,12,5.284682329
5,-3,5,650,12,4.711557727
10,-3,5,650,12,4.247948889
15,-3,5,650,12,3.904601615
20,-3,5,650,12,3.624420187
-50,-3,7.5,650,12,7.976222529
-45,-3,7.5,650,12,9.236036869
-40,-3,7.5,650,12,8.146294584
-35,-3,7.5,650,12,7.266365917
-30,-3,7.5,650,12,8.401933841
-25,-3,7.5,650,12,7.649263974
-20,-3,7.5,650,12,6.982983555
-10,-3,7.5,650,12,7.144916844
-5,-3,7.5,650,12,7.536917483
0,-3,7.5,650,12,8.027485283
5,-3,7.5,650,12,7.424655328
10,-3,7.5,650,12,7.951351469
15,-3,7.5,650,12,7.609431421
20,-3,7.5,650,12,7.303128489
-50,-2.5,0,650,12,0.670549604
-45,-2.5,0,650,12,0.485970101
-40,-2.5,0,650,12,0.370583669
-35,-2.5,0,650,12,0.292556863
-30,-2.5,0,650,12,0.236592221
-25,-2.5,0,650,12,0.19286655
-20,-2.5,0,650,12,0.15880072
-10,-2.5,0,650,12,0.106085631
-5,-2.5,0,650,12,0.086064839
0,-2.5,0,650,12,0.070807624
5,-2.5,0,650,12,0.059512833
10,-2.5,0,650,12,0.051466326
15,-2.5,0,650,12,0.04565205
20,-2.5,0,650,12,0.040949588
-50,-2.5,0.5,650,12,0.850120537
-45,-2.5,0.5,650,12,0.610589659
-40,-2.5,0.5,650,12,0.463067061
-35,-2.5,0.5,650,12,0.364323786
-30,-2.5,0.5,650,12,0.294261528
-25,-2.5,0.5,650,12,0.23973972
-20,-2.5,0.5,650,12,0.197399614
-10,-2.5,0.5,650,12,0.132408883
-5,-2.5,0.5,650,12,0.107288436
0,-2.5,0.5,650,12,0.088046872
5,-2.5,0.5,650,12,0.073725957
10,-2.5,0.5,650,12,0.063530621
15,-2.5,0.5,650,12,0.056270277
20,-2.5,0.5,650,12,0.050395253
-50,-2.5,1,650,12,1.173805855
-45,-2.5,1,650,12,0.83005766
-40,-2.5,1,650,12,0.623716963
-35,-2.5,1,650,12,0.487858867
-30,-2.5,1,650,12,0.392910642
-25,-2.5,1,650,12,0.319527735
-20,-2.5,1,650,12,0.262865693
-10,-2.5,1,650,12,0.176797546
-5,-2.5,1,650,12,0.143003546
0,-2.5,1,650,12,0.117006838
5,-2.5,1,650,12,0.097573974
10,-2.5,1,650,12,0.083762505
15,-2.5,1,650,12,0.074068476
20,-2.5,1,650,12,0.066221853
-50,-2.5,1.5,650,12,1.809953572
-45,-2.5,1.5,650,12,1.243101842
-40,-2.5,1.5,650,12,0.918570384
-35,-2.5,1.5,650,12,0.710924445
-30,-2.5,1.5,650,12,0.569087307
-25,-2.5,1.5,650,12,0.460833672
-20,-2.5,1.5,650,12,0.378094522
-10,-2.5,1.5,650,12,0.25421855
-5,-2.5,1.5,650,12,0.205087353
0,-2.5,1.5,650,12,0.167214818
5,-2.5,1.5,650,12,0.13884182
10,-2.5,1.5,650,12,0.11873623
15,-2.5,1.5,650,12,0.104812137
20,-2.5,1.5,650,12,0.093543462
-50,-2.5,2.5,650,12,4.640214883
-45,-2.5,2.5,650,12,3.493927097
-40,-2.5,2.5,650,12,2.716227607
-35,-2.5,2.5,650,12,2.047804395
-30,-2.5,2.5,650,12,1.572435772
-25,-2.5,2.5,650,12,1.236887136
-20,-2.5,2.5,650,12,0.994595584
-10,-2.5,2.5,650,12,0.653913641
-5,-2.5,2.5,650,12,0.521495876
0,-2.5,2.5,650,12,0.420689687
5,-2.5,2.5,650,12,0.345809043
10,-2.5,2.5,650,12,0.293434601
15,-2.5,2.5,650,12,0.25800333
20,-2.5,2.5,650,12,0.229422356
-50,-2.5,3.5,650,12,7.658269661
-45,-2.5,3.5,650,12,7.213032192
-40,-2.5,3.5,650,12,6.088444803
-35,-2.5,3.5,650,12,5.143124536
-30,-2.5,3.5,650,12,4.420792672
-25,-2.5,3.5,650,12,3.757730394
-20,-2.5,3.5,650,12,3.19998176
-10,-2.5,3.5,650,12,2.27443054
-5,-2.5,3.5,650,12,1.726516076
0,-2.5,3.5,650,12,1.347318277
5,-2.5,3.5,650,12,1.08169781
10,-2.5,3.5,650,12,0.904053051
15,-2.5,3.5,650,12,0.788254929
20,-2.5,3.5,650,12,0.696301146
-50,-2.5,4.5,650,12,8.880518208
-45,-2.5,4.5,650,12,8.742274216
-40,-2.5,4.5,650,12,8.676637449
-35,-2.5,4.5,650,12,7.47449058
-30,-2.5,4.5,650,12,7.383744265
-25,-2.5,4.5,650,12,7.014379556
-20,-2.5,4.5,650,12,6.176530987
-10,-2.5,4.5,650,12,5.098184936
-5,-2.5,4.5,650,12,4.458955191
0,-2.5,4.5,650,12,3.844165881
5,-2.5,4.5,650,12,3.333965059
10,-2.5,4.5,650,12,2.946121397
15,-2.5,4.5,650,12,2.674436816
20,-2.5,4.5,650,12,2.441616631
-50,-2.5,5,650,12,8.691246771
-45,-2.5,5,650,12,8.751332307
-40,-2.5,5,650,12,7.449690626
-35,-2.5,5,650,12,7.860079807
-30,-2.5,5,650,12,8.148131429
-25,-2.5,5,650,12,8.21322041
-20,-2.5,5,650,12,7.353294167
-10,-2.5,5,650,12,6.387953112
-5,-2.5,5,650,12,5.87888983
0,-2.5,5,650,12,5.284682329
5,-2.5,5,650,12,4.711557727
10,-2.5,5,650,12,4.247948889
15,-2.5,5,650,12,3.904601615
20,-2.5,5,650,12,3.624420187
-50,-2.5,7.5,650,12,7.976222529
-45,-2.5,7.5,650,12,9.236036869
-40,-2.5,7.5,650,12,8.146294584
-35,-2.5,7.5,650,12,7.266365917
-30,-2.5,7.5,650,12,8.401933841
-25,-2.5,7.5,650,12,7.649263974
-20,-2.5,7.5,650,12,6.982983555
-10,-2.5,7.5,650,12,7.144916844
