LOAN_NUMBER,FactorDate,TradeDate,City,cases,new_cases
1,20200801,20200121,Los Angeles,0.0,0
2,20200801,20200121,New York City,0.0,0
3,20200801,20200121,Chicago,0.0,0
4,20200801,20200121,Houston,0.0,0
5,20200801,20200121,Phoenix,0.0,0
6,20200801,20200121,San Diego,0.0,0
7,20200801,20200121,Dallas,0.0,0
8,20200801,20200121,Las Vegas,0.0,0
9,20200801,20200121,Seattle,0.0,0
10,20200801,20200121,Fort Worth,0.0,0
11,20200801,20200121,San Antonio,0.0,0
12,20200801,20200121,San Jose,0.0,0
13,20200801,20200121,Detroit,0.0,0
14,20200801,20200121,Philadelphia,0.0,0
15,20200801,20200121,Columbus,0.0,0
16,20200801,20200121,Austin,0.0,0
17,20200801,20200121,Charlotte,0.0,0
18,20200801,20200121,Indianapolis,0.0,0
19,20200801,20200121,Jacksonville,0.0,0
20,20200801,20200121,Memphis,0.0,0
21,20200801,20200121,San Francisco,0.0,0
22,20200801,20200121,El Paso,0.0,0
23,20200801,20200121,Baltimore,0.0,0
24,20200801,20200121,Portland,0.0,0
25,20200801,20200121,Boston,0.0,0
26,20200801,20200121,Oklahoma City,0.0,0
27,20200801,20200121,Louisville,0.0,0
28,20200801,20200121,Denver,0.0,0
29,20200801,20200121,Washington,0.0,0
30,20200801,20200121,Nashville,0.0,0
31,20200801,20200121,Milwaukee,0.0,0
32,20200801,20200121,Albuquerque,0.0,0
33,20200801,20200121,Tucson,0.0,0
34,20200801,20200121,Fresno,0.0,0
35,20200801,20200121,Sacramento,0.0,0
36,20200801,20200121,Atlanta,0.0,0
37,20200801,20200121,Kansas City,0.0,0
38,20200801,20200121,Miami,0.0,0
39,20200801,20200121,Raleigh,0.0,0
40,20200801,20200121,Omaha,0.0,0
41,20200801,20200121,Oakland,0.0,0
42,20200801,20200121,Minneapolis,0.0,0
43,20200801,20200121,Tampa,0.0,0
44,20200801,20200121,New Orleans,0.0,0
45,20200801,20200121,Wichita,0.0,0
46,20200801,20200121,Cleveland,0.0,0
47,20200801,20200121,Bakersfield,0.0,0
48,20200801,20200121,Honolulu,0.0,0
49,20200801,20200121,Boise,0.0,0
