LOAN_NUMBER,FactorDate,TradeDate,City,retail_rec,grocery_meds,parks,transit,work,home,gps_home.1
1,20200801,20200224,Los Angeles,0.00571,-0.00286,0.0714,0.00286,0.0214,-0.00143,0.000625
2,20200801,20200224,New York City,0.02,-0.0241,0.139,-0.0206,-0.0326,0.0116,-0.00907
3,20200801,20200224,Chicago,0.04,0.0271,0.281,0.0329,0.0257,-0.00857,0.0147
4,20200801,20200224,Houston,0.0214,-0.0071400000000000005,0.00286,-0.00286,0.0229,0.00286,-0.00206
5,20200801,20200224,Phoenix,0.0329,-0.00143,0.0386,0.0471,0.01,0.00286,-0.00461
6,20200801,20200224,San Diego,0.00571,-0.02,0.0214,0.00143,0.0157,0.00143,-0.0033200000000000005
7,20200801,20200224,Dallas,0.0114,-0.0129,0.00857,-0.01,0.0314,-0.00286,0.00266
8,20200801,20200224,Las Vegas,0.0229,-0.00571,0.0657,0.0271,0.00286,0.00286,-0.0050100000000000006
9,20200801,20200224,Seattle,0.0243,-0.0114,0.381,0.0386,-0.0343,0.0,0.0014199999999999998
10,20200801,20200224,Fort Worth,0.00857,-0.00286,-0.0114,0.0371,0.0286,-0.00286,0.0039700000000000004
11,20200801,20200224,San Antonio,0.0071400000000000005,0.0343,-0.0386,-0.0229,0.0214,-0.00143,0.00361
12,20200801,20200224,San Jose,-0.0114,-0.0171,0.167,-0.0229,-0.0271,0.0042899999999999995,-0.00179
13,20200801,20200224,Detroit,0.0486,0.0042899999999999995,0.29,0.124,0.00286,0.00286,0.00223
14,20200801,20200224,Philadelphia,0.04,0.0071400000000000005,0.403,0.0271,0.03,-0.00143,0.00403
15,20200801,20200224,Columbus,0.0357,0.0042899999999999995,0.221,0.03,0.02,-0.00286,0.006220000000000001
16,20200801,20200224,Austin,0.0143,-0.01,0.00143,-0.00571,0.0343,0.00143,-0.000504
17,20200801,20200224,Charlotte,-0.0042899999999999995,-0.0186,0.0514,0.03,-0.00143,0.0143,-0.0119
18,20200801,20200224,Indianapolis,0.0457,-0.0071400000000000005,0.233,0.0343,0.0229,-0.00143,0.004529999999999999
19,20200801,20200224,Jacksonville,0.0042899999999999995,-0.0129,0.0286,0.0343,0.0143,0.00143,-0.00107
20,20200801,20200224,Memphis,-0.0257,0.00143,0.0743,-0.0243,0.0129,0.0071400000000000005,-0.007809999999999999
21,20200801,20200224,San Francisco,0.0042899999999999995,0.0042899999999999995,0.124,-0.00857,0.0186,0.0,-3.16e-08
22,20200801,20200224,El Paso,0.0186,0.00143,-0.219,0.13699999999999998,0.0229,-0.0042899999999999995,0.0055899999999999995
23,20200801,20200224,Baltimore,0.0571,0.00571,0.189,0.0271,0.0329,-0.0042899999999999995,0.00702
24,20200801,20200224,Portland,0.0557,0.0114,0.313,0.0514,0.02,-0.00857,0.0108
25,20200801,20200224,Boston,0.0186,-0.0171,0.174,-0.00286,-0.0171,0.01,-0.0073
