LOAN_NUMBER,FactorDate,TradeDate,City,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_incmiddle.1
1,20200801,20200101,Los Angeles,0,0,0,0,0,0,0,0,0
2,20200801,20200102,Los Angeles,0,0,0,0,0,0,0,0,0
3,20200801,20200103,Los Angeles,0,0,0,0,0,0,0,0,0
4,20200801,20200104,Los Angeles,0,0,0,0,0,0,0,0,0
5,20200801,20200105,Los Angeles,0,0,0,0,0,0,0,0,0
6,20200801,20200106,Los Angeles,0,0,0,0,0,0,0,0,0
7,20200801,20200107,Los Angeles,0,0,0,0,0,0,0,0,0
8,20200801,20200108,Los Angeles,-0.0304,-0.0143,0.0209,-0.0204,-0.0157,-0.0327,-0.0246,-0.0334,-0.0298
9,20200801,20200109,Los Angeles,-0.0276,-0.0134,0.0213,-0.0205,-0.0153,-0.0192,-0.022,-0.0305,-0.0272
10,20200801,20200110,Los Angeles,-0.0254,-0.0133,0.0215,-0.019,-0.0154,-0.0164,-0.0188,-0.0276,-0.0262
11,20200801,20200111,Los Angeles,-0.021,-0.00973,0.0214,-0.0161,-0.0127,-0.0152,-0.0161,-0.022,-0.0224
12,20200801,20200112,Los Angeles,-0.0167,-0.00621,0.0208,-0.0131,-0.0101,-0.013,-0.0129,-0.0164,-0.0189
13,20200801,20200113,Los Angeles,-0.0125,-0.00268,0.0206,-0.0102,-0.00742,-0.0135,-0.00981,-0.0109,-0.0157
14,20200801,20200114,Los Angeles,-0.00843,0.00102,0.0166,-0.00721,-0.00462,-0.0117,-0.00656,-0.00533,-0.0131
15,20200801,20200115,Los Angeles,-0.00387,0.00505,0.017,-0.00439,-0.00168,-0.00914,-0.00405,-0.00019,-0.00817
16,20200801,20200116,Los Angeles,-0.0000188,0.00821,0.0151,-0.00225,0.000411,-0.00712,-0.00105,0.0043,-0.00469
17,20200801,20200117,Los Angeles,0.00412,0.0141,0.0149,0.00146,0.00162,-0.00659,0.00172,0.00903,-0.000461
18,20200801,20200118,Los Angeles,0.0061,0.0147,0.0191,0.00258,0.00247,-0.00357,0.00322,0.0105,0.00234
19,20200801,20200119,Los Angeles,0.0071,0.0154,0.0164,0.00371,0.00331,-0.00211,0.00394,0.0107,0.00443
20,20200801,20200120,Los Angeles,0.00806,0.016,0.0101,0.00484,0.00416,0.00484,0.00319,0.011,0.00698
21,20200801,20200121,Los Angeles,0.00875,0.0161,0.0131,0.00603,0.00449,-0.000619,0.00433,0.0116,0.00758
22,20200801,20200122,Los Angeles,0.0103,0.0165,0.00968,0.00825,0.00563,0.0000776,0.00465,0.0129,0.0102
23,20200801,20200123,Los Angeles,0.0121,0.0178,0.00686,0.0109,0.00693,0.000209,0.00542,0.014,0.0133
24,20200801,20200124,Los Angeles,0.0133,0.0167,0.00238,0.0133,0.00902,0.00094,0.006,0.0139,0.0163
25,20200801,20200125,Los Angeles,0.0124,0.0118,-0.0048,0.0125,0.0082,0.00268,0.00715,0.0119,0.0156
26,20200801,20200126,Los Angeles,0.0119,0.00696,-0.00743,0.0116,0.00738,0.00334,0.00856,0.0108,0.015
27,20200801,20200127,Los Angeles,0.0126,0.00269,-0.0122,0.0119,0.0074,0.00583,0.00957,0.0105,0.0167
28,20200801,20200128,Los Angeles,0.0117,-0.00223,-0.0148,0.0104,0.00625,0.0074,0.0107,0.00921,0.0152
29,20200801,20200129,Los Angeles,0.0105,-0.00701,-0.0206,0.00885,0.00498,0.00924,0.0125,0.00731,0.0132
30,20200801,20200130,Los Angeles,0.00909,-0.0123,-0.0267,0.00748,0.00404,0.0136,0.0128,0.00598,0.0109
31,20200801,20200131,Los Angeles,0.00699,-0.0182,-0.0324,0.00317,0.00391,0.0151,0.0118,0.00424,0.00781
32,20200801,20200201,Los Angeles,0.00549,-0.0209,-0.0349,0.00167,0.0051,0.0132,0.00946,0.00385,0.00547
33,20200801,20200202,Los Angeles,0.0044,-0.0236,-0.0344,0.000181,0.00629,0.0117,0.00737,0.00414,0.00325
34,20200801,20200203,Los Angeles,0.00267,-0.0263,-0.0384,-0.00131,0.00748,0.00934,0.00569,0.00321,0.000515
35,20200801,20200204,Los Angeles,0.00113,-0.0292,-0.0385,-0.00394,0.00849,0.00892,0.00283,0.00259,-0.00138
36,20200801,20200205,Los Angeles,-0.00056,-0.0318,-0.0392,-0.00653,0.00988,0.00911,-0.000684,0.00243,-0.00389
37,20200801,20200206,Los Angeles,-0.00225,-0.0342,-0.0392,-0.00832,0.0113,0.00584,-0.00399,0.00191,-0.00609
38,20200801,20200207,Los Angeles,-0.0028,-0.0352,-0.0359,-0.00967,0.0114,0.00578,-0.00525,0.00304,-0.0082
39,20200801,20200208,Los Angeles,-0.00291,-0.0364,-0.0308,-0.00982,0.0108,0.0102,-0.00605,0.0048,-0.0101
40,20200801,20200209,Los Angeles,-0.00361,-0.0375,-0.0297,-0.00997,0.0102,0.0134,-0.00729,0.00529,-0.0118
41,20200801,20200210,Los Angeles,-0.00441,-0.0387,-0.029,-0.0101,0.00966,0.0161,-0.0089,0.00527,-0.013
42,20200801,20200211,Los Angeles,-0.00537,-0.0399,-0.029,-0.00984,0.00911,0.0159,-0.0103,0.0054,-0.0149
43,20200801,20200212,Los Angeles,-0.00608,-0.0412,-0.0271,-0.00939,0.00828,0.0142,-0.0117,0.00522,-0.0158
44,20200801,20200213,Los Angeles,-0.00645,-0.0429,-0.022,-0.0105,0.00723,0.0153,-0.0123,0.00522,-0.0164
45,20200801,20200214,Los Angeles,-0.00718,-0.0449,-0.02,-0.00869,0.00554,0.0197,-0.0128,0.00526,-0.018
46,20200801,20200215,Los Angeles,-0.00712,-0.0453,-0.0256,-0.00592,0.00547,0.0231,-0.0117,0.0048,-0.0179
47,20200801,20200216,Los Angeles,-0.00672,-0.0457,-0.0281,-0.00316,0.0054,0.0258,-0.0106,0.00476,-0.0174
48,20200801,20200217,Los Angeles,-0.00617,-0.046,-0.0307,-0.000392,0.00534,0.0306,-0.0103,0.00583,-0.0173
49,20200801,20200218,Los Angeles,-0.00558,-0.0458,-0.0299,0.00071,0.00573,0.0263,-0.0088,0.00573,-0.0163
50,20200801,20200219,Los Angeles,-0.00412,-0.0459,-0.0311,0.00476,0.00592,0.0279,-0.00672,0.00688,-0.0148
51,20200801,20200220,Los Angeles,-0.0024,-0.045,-0.0336,0.00869,0.00659,0.0298,-0.00344,0.00815,-0.0134
52,20200801,20200221,Los Angeles,-0.000595,-0.0441,-0.0353,0.0106,0.0076,0.0302,-0.0012,0.00907,-0.0108
53,20200801,20200222,Los Angeles,-0.000654,-0.046,-0.0308,0.00913,0.00585,0.0285,0.00107,0.00842,-0.0113
54,20200801,20200223,Los Angeles,-0.00079,-0.0478,-0.0289,0.00768,0.0041,0.0302,0.00336,0.00751,-0.0118
55,20200801,20200224,Los Angeles,-0.00062,-0.0501,-0.0296,0.009,0.00228,0.0334,0.00612,0.00722,-0.0125
56,20200801,20200225,Los Angeles,-0.00138,-0.0521,-0.0291,0.00682,0.000292,0.0363,0.00758,0.0058,-0.0136
57,20200801,20200226,Los Angeles,-0.00263,-0.054,-0.0296,0.00446,-0.00171,0.0384,0.00947,0.0041,-0.016
58,20200801,20200227,Los Angeles,-0.00449,-0.057,-0.0315,0.00264,-0.00399,0.0374,0.0097,0.00182,-0.0184
59,20200801,20200228,Los Angeles,-0.00661,-0.0608,-0.0324,0.000765,-0.00669,0.036,0.00996,-0.00033,-0.0219
60,20200801,20200229,Los Angeles,-0.0086,-0.0611,-0.0365,-0.000246,-0.01,0.0366,0.0077,-0.00151,-0.0246
61,20200801,20200301,Los Angeles,-0.0105,-0.0614,-0.038,-0.00126,-0.0134,0.0349,0.00564,-0.00214,-0.0276
62,20200801,20200302,Los Angeles,-0.0124,-0.0617,-0.0397,-0.00227,-0.0167,0.0325,0.00445,-0.003,-0.0311
63,20200801,20200303,Los Angeles,-0.0146,-0.0619,-0.0433,-0.00325,-0.02,0.029,0.00311,-0.00431,-0.0348
64,20200801,20200304,Los Angeles,-0.0163,-0.0627,-0.0437,-0.00427,-0.0231,0.0261,0.00236,-0.00515,-0.038
65,20200801,20200305,Los Angeles,-0.018,-0.0635,-0.0466,-0.00503,-0.0261,0.0251,0.00117,-0.00591,-0.0412
66,20200801,20200306,Los Angeles,-0.0195,-0.0634,-0.0494,-0.00482,-0.0286,0.0245,0.00141,-0.0073,-0.0437
67,20200801,20200307,Los Angeles,-0.0219,-0.0656,-0.0488,-0.00558,-0.0326,0.0222,-0.000682,-0.00957,-0.0465
68,20200801,20200308,Los Angeles,-0.0237,-0.0679,-0.0496,-0.00634,-0.0365,0.0306,-0.0018,-0.0121,-0.0478
69,20200801,20200309,Los Angeles,-0.0262,-0.0702,-0.0509,-0.0071,-0.0404,0.0304,-0.00384,-0.0145,-0.0506
70,20200801,20200310,Los Angeles,-0.0287,-0.0725,-0.0514,-0.00836,-0.0444,0.0295,-0.00603,-0.0169,-0.0536
71,20200801,20200311,Los Angeles,-0.0315,-0.0744,-0.0532,-0.00957,-0.0484,0.0275,-0.00968,-0.0193,-0.0563
72,20200801,20200312,Los Angeles,-0.035,-0.0756,-0.0556,-0.0111,-0.0525,0.0203,-0.0141,-0.0221,-0.0602
73,20200801,20200313,Los Angeles,-0.0402,-0.0786,-0.0622,-0.0153,-0.0559,0.0044,-0.0203,-0.0266,-0.0656
74,20200801,20200314,Los Angeles,-0.0471,-0.0825,-0.0698,-0.0174,-0.0572,-0.0233,-0.027,-0.0334,-0.0726
75,20200801,20200315,Los Angeles,-0.0547,-0.0864,-0.0749,-0.0196,-0.0585,-0.066,-0.0354,-0.0399,-0.081
76,20200801,20200316,Los Angeles,-0.0621,-0.0903,-0.0796,-0.0217,-0.0598,-0.106,-0.043,-0.0462,-0.0898
77,20200801,20200317,Los Angeles,-0.0713,-0.0942,-0.0881,-0.0235,-0.0611,-0.162,-0.0523,-0.0539,-0.101
78,20200801,20200318,Los Angeles,-0.0817,-0.0983,-0.1,-0.0254,-0.0627,-0.227,-0.0626,-0.0626,-0.113
79,20200801,20200319,Los Angeles,-0.0926,-0.103,-0.114,-0.0273,-0.0645,-0.292,-0.0734,-0.0723,-0.126
80,20200801,20200320,Los Angeles,-0.105,-0.107,-0.133,-0.0285,-0.0672,-0.366,-0.088,-0.0829,-0.14
81,20200801,20200321,Los Angeles,-0.122,-0.113,-0.154,-0.0395,-0.0713,-0.443,-0.106,-0.0978,-0.158
82,20200801,20200322,Los Angeles,-0.137,-0.119,-0.169,-0.0506,-0.0755,-0.511,-0.123,-0.111,-0.175
83,20200801,20200323,Los Angeles,-0.152,-0.125,-0.192,-0.0616,-0.0797,-0.547,-0.14,-0.125,-0.188
84,20200801,20200324,Los Angeles,-0.164,-0.131,-0.213,-0.0723,-0.0838,-0.568,-0.156,-0.136,-0.201
85,20200801,20200325,Los Angeles,-0.176,-0.137,-0.231,-0.0829,-0.0877,-0.584,-0.171,-0.147,-0.212
86,20200801,20200326,Los Angeles,-0.188,-0.142,-0.246,-0.0939,-0.0918,-0.598,-0.186,-0.157,-0.224
87,20200801,20200327,Los Angeles,-0.2,-0.149,-0.259,-0.109,-0.0967,-0.606,-0.199,-0.168,-0.236
88,20200801,20200328,Los Angeles,-0.212,-0.162,-0.27,-0.121,-0.105,-0.613,-0.214,-0.177,-0.251
89,20200801,20200329,Los Angeles,-0.225,-0.174,-0.283,-0.133,-0.113,-0.619,-0.229,-0.187,-0.267
90,20200801,20200330,Los Angeles,-0.238,-0.186,-0.295,-0.145,-0.122,-0.623,-0.245,-0.196,-0.281
91,20200801,20200331,Los Angeles,-0.25,-0.198,-0.306,-0.157,-0.13,-0.627,-0.26,-0.205,-0.296
92,20200801,20200401,Los Angeles,-0.262,-0.211,-0.316,-0.17,-0.139,-0.63,-0.275,-0.215,-0.31
93,20200801,20200402,Los Angeles,-0.275,-0.224,-0.328,-0.182,-0.149,-0.633,-0.29,-0.224,-0.325
94,20200801,20200403,Los Angeles,-0.286,-0.231,-0.337,-0.189,-0.161,-0.635,-0.304,-0.232,-0.337
95,20200801,20200404,Los Angeles,-0.297,-0.236,-0.351,-0.201,-0.173,-0.636,-0.317,-0.242,-0.351
96,20200801,20200405,Los Angeles,-0.309,-0.242,-0.365,-0.212,-0.184,-0.639,-0.331,-0.252,-0.364
97,20200801,20200406,Los Angeles,-0.321,-0.247,-0.38,-0.223,-0.196,-0.641,-0.344,-0.262,-0.377
98,20200801,20200407,Los Angeles,-0.333,-0.252,-0.393,-0.235,-0.207,-0.644,-0.357,-0.272,-0.39
99,20200801,20200408,Los Angeles,-0.345,-0.257,-0.408,-0.246,-0.218,-0.646,-0.371,-0.282,-0.403
100,20200801,20200409,Los Angeles,-0.356,-0.261,-0.421,-0.258,-0.227,-0.648,-0.382,-0.291,-0.416
101,20200801,20200410,Los Angeles,-0.367,-0.271,-0.435,-0.272,-0.233,-0.649,-0.394,-0.3,-0.429
102,20200801,20200411,Los Angeles,-0.376,-0.287,-0.448,-0.28,-0.237,-0.649,-0.403,-0.309,-0.438
103,20200801,20200412,Los Angeles,-0.385,-0.303,-0.462,-0.288,-0.241,-0.655,-0.413,-0.318,-0.448
104,20200801,20200413,Los Angeles,-0.394,-0.318,-0.473,-0.296,-0.244,-0.657,-0.421,-0.326,-0.457
105,20200801,20200414,Los Angeles,-0.403,-0.334,-0.486,-0.304,-0.248,-0.656,-0.43,-0.335,-0.466
106,20200801,20200415,Los Angeles,-0.411,-0.35,-0.498,-0.312,-0.252,-0.656,-0.439,-0.344,-0.474
107,20200801,20200416,Los Angeles,-0.42,-0.367,-0.51,-0.319,-0.258,-0.654,-0.448,-0.353,-0.482
108,20200801,20200417,Los Angeles,-0.428,-0.381,-0.519,-0.325,-0.264,-0.653,-0.454,-0.362,-0.489
109,20200801,20200418,Los Angeles,-0.431,-0.385,-0.52,-0.33,-0.269,-0.65,-0.456,-0.367,-0.491
110,20200801,20200419,Los Angeles,-0.433,-0.389,-0.52,-0.335,-0.274,-0.641,-0.457,-0.372,-0.492
111,20200801,20200420,Los Angeles,-0.436,-0.393,-0.516,-0.34,-0.279,-0.638,-0.458,-0.376,-0.493
112,20200801,20200421,Los Angeles,-0.439,-0.397,-0.518,-0.346,-0.284,-0.634,-0.459,-0.381,-0.495
113,20200801,20200422,Los Angeles,-0.442,-0.401,-0.519,-0.351,-0.289,-0.631,-0.461,-0.386,-0.497
114,20200801,20200423,Los Angeles,-0.445,-0.403,-0.521,-0.355,-0.292,-0.628,-0.463,-0.39,-0.498
115,20200801,20200424,Los Angeles,-0.448,-0.408,-0.522,-0.36,-0.295,-0.626,-0.465,-0.394,-0.5
116,20200801,20200425,Los Angeles,-0.449,-0.41,-0.524,-0.363,-0.295,-0.623,-0.466,-0.396,-0.501
117,20200801,20200426,Los Angeles,-0.45,-0.411,-0.526,-0.366,-0.295,-0.621,-0.467,-0.397,-0.502
118,20200801,20200427,Los Angeles,-0.452,-0.412,-0.532,-0.368,-0.296,-0.62,-0.468,-0.399,-0.503
119,20200801,20200428,Los Angeles,-0.453,-0.414,-0.533,-0.371,-0.296,-0.62,-0.469,-0.401,-0.504
120,20200801,20200429,Los Angeles,-0.454,-0.415,-0.536,-0.373,-0.296,-0.62,-0.469,-0.403,-0.505
121,20200801,20200430,Los Angeles,-0.456,-0.417,-0.538,-0.377,-0.297,-0.619,-0.47,-0.405,-0.506
122,20200801,20200501,Los Angeles,-0.456,-0.416,-0.538,-0.378,-0.299,-0.615,-0.47,-0.405,-0.508
123,20200801,20200502,Los Angeles,-0.456,-0.416,-0.536,-0.378,-0.304,-0.612,-0.47,-0.405,-0.508
124,20200801,20200503,Los Angeles,-0.456,-0.416,-0.533,-0.378,-0.308,-0.61,-0.469,-0.405,-0.508
125,20200801,20200504,Los Angeles,-0.456,-0.416,-0.53,-0.378,-0.313,-0.607,-0.469,-0.405,-0.508
126,20200801,20200505,Los Angeles,-0.456,-0.415,-0.525,-0.377,-0.317,-0.601,-0.468,-0.405,-0.508
127,20200801,20200506,Los Angeles,-0.455,-0.415,-0.519,-0.377,-0.322,-0.597,-0.468,-0.404,-0.508
128,20200801,20200507,Los Angeles,-0.455,-0.416,-0.515,-0.376,-0.325,-0.593,-0.467,-0.403,-0.509
129,20200801,20200508,Los Angeles,-0.455,-0.415,-0.51,-0.376,-0.328,-0.591,-0.466,-0.403,-0.507
130,20200801,20200509,Los Angeles,-0.454,-0.413,-0.509,-0.373,-0.329,-0.584,-0.466,-0.403,-0.506
131,20200801,20200510,Los Angeles,-0.453,-0.41,-0.508,-0.371,-0.33,-0.576,-0.465,-0.402,-0.504
132,20200801,20200511,Los Angeles,-0.452,-0.407,-0.506,-0.368,-0.33,-0.573,-0.464,-0.402,-0.503
133,20200801,20200512,Los Angeles,-0.451,-0.404,-0.504,-0.366,-0.331,-0.57,-0.464,-0.401,-0.503
