LOAN_NUMBER,FactorDate,TradeDate,City,revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
1,20200801,20200110,Los Angeles,-0.0294,-0.0274,0.00729,-0.123,0.00214
2,20200801,20200110,New York City,0.0166,0.00542,-0.0168,-0.0305,0.00622
3,20200801,20200110,Chicago,-0.0579,-0.0738,-0.00769,-0.00848,-0.053
4,20200801,20200110,Houston,-0.0614,-0.0366,-0.0837,-0.0204,-0.000463
5,20200801,20200110,Phoenix,-0.0154,0.00726,0.0705,-0.133,-0.000432
6,20200801,20200110,San Diego,-0.0191,-0.0728,0.0188,-0.0401,0.0602
7,20200801,20200110,Dallas,-0.0172,-0.0742,0.0218,0.00201,-0.0134
8,20200801,20200110,Las Vegas,0.0149,-0.0158,0.14,0.0486,0.0899
9,20200801,20200110,Seattle,-0.00707,-0.0583,0.0579,0.0313,-0.0229
10,20200801,20200110,Fort Worth,-0.041,-0.0398,0.179,-0.0824,-0.0782
11,20200801,20200110,San Antonio,-0.0241,-0.0169,0.00433,-0.00806,-0.0284
12,20200801,20200110,San Jose,-0.0703,-0.154,0.0247,-0.187,-0.0286
13,20200801,20200110,Detroit,-0.0234,-0.0565,-0.048,-0.0466,0.0217
14,20200801,20200110,Philadelphia,-0.179,0.0284,-0.0497,-0.537,0.044
15,20200801,20200110,Austin,0.000386,-0.0315,0.00919,0.0152,-0.05
16,20200801,20200110,Charlotte,0.0386,0.00415,0.646,-0.0412,0.0437
17,20200801,20200110,Indianapolis,-0.0924,-0.0123,-0.152,-0.138,-0.0563
18,20200801,20200110,Jacksonville,-0.0256,-0.0413,-0.00462,-0.0887,0.0182
19,20200801,20200110,Memphis,0.0144,0.0177,-0.0256,-0.0484,-0.0417
20,20200801,20200110,San Francisco,0.116,0.0484,0.156,0.352,-0.146
21,20200801,20200110,El Paso,0.0145,-0.0635,-0.0245,0.185,-0.0139
22,20200801,20200110,Baltimore,-0.0908,-0.00896,-0.221,-0.0689,-0.0608
23,20200801,20200110,Portland,-0.0353,0.015,-0.0956,-0.177,-0.0884
24,20200801,20200110,Boston,-0.0226,-0.0566,0.133,0.194,-0.0285
25,20200801,20200110,Oklahoma City,0.00562,0.0453,-0.0366,-0.0102,0.00209
26,20200801,20200110,Louisville,-0.0492,-0.113,-0.0825,-0.0427,-0.00447
27,20200801,20200110,Denver,-0.0525,-0.0649,-0.0635,-0.0542,-0.0366
28,20200801,20200110,Washington,0.0263,-0.0758,0.0858,0.141,-0.0395
29,20200801,20200110,Nashville,0.0137,-0.043,0.000853,0.0542,-0.0317
30,20200801,20200110,Milwaukee,-0.0343,0.0296,-0.0175,-0.0183,-0.124
31,20200801,20200110,Albuquerque,-0.024,-0.0254,-0.0647,-0.0409,0.00863
32,20200801,20200110,Tucson,-0.357,0.00131,-0.133,-0.623,-0.0988
33,20200801,20200110,Fresno,-0.00327,-0.0441,-0.12,0.0621,0.0471
34,20200801,20200110,Sacramento,0.0554,0.00672,-0.0164,-0.0447,0.0886
35,20200801,20200110,Atlanta,-0.0955,0.0485,-0.194,-0.161,-0.155
36,20200801,20200110,Kansas City,-0.0402,-0.0685,0.0168,-0.0155,-0.0591
37,20200801,20200110,Miami,0.0452,0.145,-0.0711,0.0819,-0.0709
38,20200801,20200110,Raleigh,-0.000553,-0.0272,0.0904,0.00686,-0.0257
39,20200801,20200110,Omaha,-0.0294,-0.049,-0.0321,-0.0192,-0.00521
40,20200801,20200110,Oakland,-0.032,-0.0289,0.0173,-0.215,-0.0251
41,20200801,20200110,Minneapolis,0.0174,0.0259,0.00165,0.00487,-0.0674
42,20200801,20200110,Tampa,-0.00187,0.116,-0.113,-0.111,-0.0181
43,20200801,20200110,New Orleans,-0.0259,0.0224,-0.0499,-0.055,-0.0297
44,20200801,20200110,Wichita,-0.0347,-0.0432,-0.09,-0.0747,-0.0743
45,20200801,20200110,Cleveland,-0.0624,-0.0558,-0.0863,-0.0963,-0.0789
46,20200801,20200110,Bakersfield,-0.0144,0.0117,-0.0404,-0.0505,-0.000753
47,20200801,20200110,Honolulu,-0.052,-0.156,0.136,-0.0372,0.0166
48,20200801,20200110,Boise,0.0549,0.0877,-0.153,0.0794,0.0845
49,20200801,20200110,Salt Lake City,-0.00733,-0.0346,0.00737,0.00969,0.0177
50,20200801,20200110,Virginia Beach,0.0414,0.0557,0.096,-0.0449,0.0135
51,20200801,20200110,Colorado Springs,-0.00147,-0.0367,0.0642,0.0603,-0.0719
52,20200801,20200110,Tulsa,-0.0479,0.0305,-0.113,-0.107,0.0253
53,20200801,20200111,Los Angeles,-0.0139,0.00355,0.0163,-0.097,-0.000922
54,20200801,20200111,New York City,0.0338,0.0376,0.00237,-0.0237,0.0172
55,20200801,20200111,Chicago,-0.0624,-0.081,-0.00877,0.00303,-0.0707
56,20200801,20200111,Houston,-0.022,-0.0184,-0.0813,0.101,-0.00414
57,20200801,20200111,Phoenix,0.0137,0.0156,0.0778,-0.0801,0.00618
58,20200801,20200111,San Diego,-0.0235,-0.08,0.0293,-0.0508,0.049
59,20200801,20200111,Dallas,-0.0278,-0.0507,0.000191,-0.0402,-0.000295
60,20200801,20200111,Las Vegas,0.0288,-0.0145,0.168,0.0322,0.12
61,20200801,20200111,Seattle,-0.0155,-0.0969,0.0793,0.0485,-0.00261
62,20200801,20200111,Fort Worth,-0.0405,-0.0411,0.153,-0.0886,-0.0933
63,20200801,20200111,San Antonio,-0.0337,0.0152,0.026,0.074,-0.0169
64,20200801,20200111,San Jose,-0.0449,-0.112,0.0317,-0.133,-0.00043
65,20200801,20200111,Detroit,-0.0334,-0.0715,-0.0885,-0.0448,0.00877
66,20200801,20200111,Philadelphia,-0.177,0.046,-0.0477,-0.547,0.0592
67,20200801,20200111,Austin,-0.00107,-0.0123,-0.0108,0.0236,-0.0267
